Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,上传方式,上傳方式,Upload-Modus,Modo de carga,Mode de téléchargement,Feltöltés mód,アップロードモード,업로드 모드,Режим загрузки,Modo de upload,Режим завантаження,Modalità di caricamento,โหมดอัพโหลด,Yükleme modu,Uppladdningsläge,Režim nahrávania
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,创建新物品,建立新專案,Neues Element erstellen,Crear nuevo artículo,Créer un nouvel élément,Új elem létrehozása,新しいアイテムを作成する,새 항목 만들기,Создать новый элемент,Criar novo item,Створити новий елемент,Crea nuovo elemento,สร้างรายการใหม่,Yeni öğe oluştur,Skapa nytt objekt,Vytvorte novú položku
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,更新现有物品,更新現有項目,Vorhandenes Element aktualisieren,Actualizar elemento existente,Mettre à jour l'élément existant,Meglévő elem frissítése,既存のアイテムを更新する,기존 항목 업데이트,Обновить существующий элемент,Atualizar item existente,Оновити наявний елемент,Aggiorna l'elemento esistente,อัพเดตรายการที่มีอยู่,Mevcut öğeyi güncelle,Uppdatera befintligt objekt,Aktualizovať existujúcu položku
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,需要更新的物品,要更新的項目,Zu aktualisierendes Element,Artículo para actualizar,Élément à mettre à jour,Frissítendő elem,更新する項目,업데이트할 항목,Элемент для обновления,Item a ser atualizado,Елемент для оновлення,Articolo da aggiornare,รายการที่จะอัปเดต,Güncellenecek öğe,Objekt att uppdatera,Položka na aktualizáciu
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,标题,標題,Titel,Título,Titre,Cím,タイトル,제목,Заголовок,Título,Назва,Titolo,ชื่อ,Başlık,Titel,Názov
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,描述,描述,Beschreibung,Descripción,Description,Leírás,説明,설명,Описание,Descrição,опис,Descrizione,คำอธิบาย,Tanım,Beskrivning,Popis
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,可见性,能見度,Sichtweite,Visibilidad,Visibilité,Láthatóság,可視性,시계,Видимость,Visibilidade,Видимість,Visibilità,ทัศนวิสัย,Görünürlük,Synlighet,Viditeľnosť
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,公开,民眾,Öffentlich,Público,Publique,Nyilvános,公共,공공의,Общественный,Público,Громадський,Pubblico,สาธารณะ,Halk,Offentlig,Verejné
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,仅限好友,僅限朋友,Nur für Freunde,Sólo amigos,Amis seulement,Csak barátok,友達限定,친구만,Только друзья,Apenas amigos,Тільки друзі,Solo amici,เพื่อนเท่านั้น,Yalnızca Arkadaşlar,Endast vänner,Iba priatelia
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,隐藏,私人的,Privat,Privado,Privé,Magán,プライベート,사적인,Частный,Privado,Приватний,Privato,ส่วนตัว,Özel,Privat,Súkromné
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,非公开,未上市,Nicht gelistet,No estante en la lista,Non répertorié,Nem listázott,非上場,미등록,Нет в списке,Não listado,Не в списку,Non elencato,ไม่อยู่ในรายการ,Liste dışı,Onoterat,Neuvedené
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,改动说明,更改備註,Notiz ändern,Cambiar nota,Modifier la note,Jegyzet módosítása,変更メモ,메모 변경,Изменить примечание,Alterar nota,Змінити примітку,Cambia nota,เปลี่ยนบันทึก,Notu değiştir,Ändra anteckning,Zmeniť poznámku
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),必需物品（PublishedFileIds）,必需項目（PublishedFileIds）,Erforderliche Elemente (PublishedFileIds),Elementos necesarios (PublishedFileIds),Éléments requis (PublishedFileIds),Kötelező elemek (PublishedFileIds),必須項目 (PublishedFileIds),필수 항목(PublishedFileIds),Обязательные элементы (PublishedFileIds),Itens obrigatórios (PublishedFileIds),Необхідні елементи (PublishedFileIds),Elementi richiesti (PublishedFileId),รายการที่จำเป็น (PublishedFileIds),Gerekli Öğeler (Yayınlanan Dosya Kimlikleri),Obligatoriska objekt (PublishedFileIds),Požadované položky (PublishedFileIds)
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),预览图像（PNG/JPG 路径）,預覽影像（PNG/JPG 路徑）,Vorschaubild (PNG/JPG-Pfad),Imagen de vista previa (ruta PNG/JPG),Image d'aperçu (chemin PNG/JPG),Előnézeti kép (PNG/JPG elérési út),プレビュー画像 (PNG/JPG パス),미리보기 이미지(PNG/JPG 경로),Изображение для предварительного просмотра (путь PNG/JPG),Imagem de visualização (caminho PNG/JPG),Попередній перегляд зображення (шлях PNG/JPG),Immagine di anteprima (percorso PNG/JPG),ภาพตัวอย่าง (เส้นทาง PNG/JPG),Önizleme resmi (PNG/JPG yolu),Förhandsgranska bild (PNG/JPG sökväg),Náhľad obrázka (cesta PNG/JPG)
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,发布,發布,Veröffentlichen,Publicar,Publier,Közzététel,公開,게시,Публиковать,Publicar,Опублікувати,Pubblicare,เผยแพร่,Yayınla,Publicera,Publikovať
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,取消,取消,Stornieren,Cancelar,Annuler,Mégse,キャンセル,취소,Отмена,Cancelar,Скасувати,Cancellare,ยกเลิก,İptal etmek,Avboka,Zrušiť
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),（加载中...）,(載入中...),(Laden...),(cargando...),(chargement...),(terhelés...),(読み込み中...),(로드 중...),(загрузка...),(carregando...),(завантаження...),(caricamento...),(กำลังโหลด...),(yükleniyor...),(belastning...),(načítava sa...)
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),（没有发布过的物品）,（沒有發表過的文章）,(keine veröffentlichten Artikel),(no hay artículos publicados),(aucun élément publié),(nincs közzétett cikk),(掲載アイテムはありません),(게시된 항목 없음),(нет опубликованных материалов),(sem itens publicados),(немає опублікованих елементів),(nessun articolo pubblicato),(ไม่มีรายการเผยแพร่),(yayınlanmış öğe yok),(inga publicerade föremål),(žiadne zverejnené položky)
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),（Steam未准备好）,（蒸氣未準備好）,(Steam nicht bereit),(El vapor no está listo),(La vapeur n'est pas prête),(A Steam nincs kész),(スチームの準備ができていません),(스팀이 준비되지 않았습니다),(Пар не готов),(Vapor não está pronto),(Steam не готовий),(Vapore non pronto),(ไอน้ำไม่พร้อม),(Buhar hazır değil),(Steam inte redo),(Steam nie je pripravený)
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,正在等待 Steam 元数据...,正在等待 Steam 元數據...,Warten auf Steam-Metadaten...,Esperando metadatos de Steam...,En attente des métadonnées Steam...,Várakozás a Steam metaadatokra...,Steam メタデータを待っています...,Steam 메타데이터를 기다리는 중...,Ожидание метаданных Steam...,Aguardando metadados do Steam...,Очікування метаданих Steam...,In attesa dei metadati di Steam...,กำลังรอข้อมูลเมตาของ Steam...,Steam meta verileri bekleniyor...,Väntar på Steam-metadata...,Čaká sa na metadáta Steam...
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,请选择要更新的已发布创意工坊物品。,選擇要更新的已發布創意工坊專案。,Wählen Sie ein veröffentlichtes Workshop-Element zum Aktualisieren aus.,Seleccione un elemento de Workshop publicado para actualizar.,Sélectionnez un élément d'atelier publié à mettre à jour.,Válasszon ki egy frissíteni kívánt műhelyelemet.,更新する公開済みのワークショップ アイテムを選択します。,업데이트할 게시된 창작마당 항목을 선택하세요.,Выберите опубликованный элемент Мастерской для обновления.,Selecione um item publicado do Workshop para atualizar.,Виберіть опублікований елемент Workshop для оновлення.,Seleziona un elemento del Workshop pubblicato da aggiornare.,เลือกรายการเวิร์กชอปที่เผยแพร่เพื่ออัปเดต,Güncellemek için yayınlanmış bir Atölye öğesini seçin.,Välj ett publicerat verkstadsobjekt att uppdatera.,"Vyberte publikovanú položku Workshopu, ktorú chcete aktualizovať."
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,标题为必填项。,標題為必填項。,Titel ist erforderlich.,Se requiere título.,Le titre est requis.,A cím kötelező.,タイトルは必須です。,제목이 필요합니다.,Необходимо указать название.,O título é obrigatório.,Необхідно вказати назву.,Il titolo è obbligatorio.,ต้องระบุชื่อเรื่อง,Başlık gerekli.,Titel krävs.,Vyžaduje sa názov.
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,发布前请修复预览图像。,發布前修復預覽影像。,Korrigieren Sie das Vorschaubild vor der Veröffentlichung.,Corrige la imagen de vista previa antes de publicarla.,Corrigez l'image d'aperçu avant de publier.,Közzététel előtt javítsa ki az előnézeti képet.,公開する前にプレビュー画像を修正してください。,게시하기 전에 미리보기 이미지를 수정하세요.,Исправьте изображение предварительного просмотра перед публикацией.,Corrija a imagem de visualização antes de publicar.,Виправте зображення попереднього перегляду перед публікацією.,Correggi l'immagine di anteprima prima della pubblicazione.,แก้ไขภาพตัวอย่างก่อนที่จะเผยแพร่,Yayınlamadan önce önizleme görüntüsünü düzeltin.,Fixa förhandsgranskningsbilden innan publicering.,Pred zverejnením opravte obrázok ukážky.
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,正在创建创意工坊物品...,正在創建創意工坊專案...,Workshop-Element wird erstellt...,Creando elemento de taller...,Création d'un élément d'atelier...,Workshop elem létrehozása...,ワークショップアイテムを作成中...,창작마당 아이템 생성 중...,Создание предмета Мастерской...,Criando item da Oficina...,Створення елемента майстерні...,Creazione oggetto del Workshop...,กำลังสร้างรายการเวิร์กชอป...,Atölye öğesi oluşturuluyor...,Skapar verkstadsobjekt...,Vytvára sa dielenská položka...
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,正在上传创意工坊物品...,正在上傳創意工坊專案...,Workshop-Artikel wird hochgeladen...,Subiendo elemento del taller...,Téléchargement de l'élément d'atelier...,Workshop elem feltöltése...,ワークショップアイテムをアップロードしています...,창작마당 항목 업로드 중...,Загрузка предмета Мастерской...,Carregando item da Oficina...,Завантаження предмета майстерні...,Caricamento elemento del Workshop...,กำลังอัปโหลดรายการเวิร์กชอป...,Atölye öğesi yükleniyor...,Laddar upp verkstadsobjekt...,Nahráva sa položka workshopu...
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,未找到预览图像文件。,未找到預覽圖像檔案。,Vorschaubilddatei nicht gefunden.,Archivo de imagen de vista previa no encontrado.,Fichier image d'aperçu introuvable.,Az előnézeti képfájl nem található.,プレビュー画像ファイルが見つかりません。,미리보기 이미지 파일을 찾을 수 없습니다.,Файл изображения предварительного просмотра не найден.,Arquivo de imagem de visualização não encontrado.,Файл попереднього перегляду зображення не знайдено.,File immagine di anteprima non trovato.,ไม่พบไฟล์ภาพตัวอย่าง,Önizleme resim dosyası bulunamadı.,Förhandsgranskningsbildfilen hittades inte.,Súbor s ukážkou obrázka sa nenašiel.
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.",预览图像必须是 PNG、JPG 或 GIF。,預覽影像必須是 PNG、JPG 或 GIF。,"Das Vorschaubild muss im PNG-, JPG- oder GIF-Format vorliegen.","La imagen de vista previa debe ser PNG, JPG o GIF.","L’image d’aperçu doit être au format PNG, JPG ou GIF.","Az előnézeti képnek PNG, JPG vagy GIF formátumúnak kell lennie.",プレビュー画像は PNG、JPG、または GIF である必要があります。,"미리보기 이미지는 PNG, JPG 또는 GIF여야 합니다.","Изображение для предварительного просмотра должно быть в формате PNG, JPG или GIF.","A imagem de visualização deve ser PNG, JPG ou GIF.","Зображення попереднього перегляду має бути у форматі PNG, JPG або GIF.","L'immagine di anteprima deve essere PNG, JPG o GIF.","รูปภาพตัวอย่างต้องเป็น PNG, JPG หรือ GIF","Önizleme resmi PNG, JPG veya GIF olmalıdır.","Förhandsgranskningsbilden måste vara en PNG, JPG eller GIF.","Obrázok ukážky musí byť vo formáte PNG, JPG alebo GIF."
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,预览图像必须为 1 MB 或更小（当前为 {0} KB）。,預覽影像必須為 1 MB 或更小（目前為 {0} KB）。,Das Vorschaubild darf maximal 1 MB groß sein (derzeit {0} KB).,La imagen de vista previa debe tener 1 MB o menos (actualmente {0} KB).,L'image d'aperçu doit faire 1 Mo ou moins (actuellement {0} Ko).,Az előnézeti kép 1 MB vagy kisebb lehet (jelenleg {0} KB).,プレビュー画像は 1 MB 以下である必要があります (現在は {0} KB)。,미리보기 이미지는 1MB(현재 {0}KB) 이하여야 합니다.,Размер изображения для предварительного просмотра должен составлять 1 МБ или меньше (сейчас {0} КБ).,A imagem de visualização deve ter 1 MB ou menos (atualmente {0} KB).,Розмір попереднього зображення має бути 1 МБ або менше (наразі {0} КБ).,L'immagine di anteprima deve essere di 1 MB o più piccola (attualmente {0} KB).,รูปภาพตัวอย่างต้องมีขนาด 1 MB หรือเล็กกว่า (ปัจจุบันคือ {0} KB),Önizleme resmi 1 MB veya daha küçük olmalıdır (şu anda {0} KB).,Förhandsgranskningsbilden måste vara 1 MB eller mindre (för närvarande {0} KB).,Obrázok ukážky musí mať veľkosť 1 MB alebo menej (momentálne {0} KB).
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},无法读取预览图像：{0},無法讀取預覽影像：{0},Vorschaubild konnte nicht gelesen werden: {0},No se pudo leer la imagen de vista previa: {0},Échec de la lecture de l'image d'aperçu : {0},Nem sikerült beolvasni az előnézeti képet: {0},プレビュー画像の読み取りに失敗しました: {0},미리보기 이미지를 읽지 못했습니다: {0},Не удалось прочитать изображение предварительного просмотра: {0},Falha ao ler a imagem de visualização: {0},Не вдалося прочитати зображення попереднього перегляду: {0},Impossibile leggere l'immagine di anteprima: {0},ไม่สามารถอ่านภาพตัวอย่าง: {0},Önizleme resmi okunamadı: {0},Det gick inte att läsa förhandsgranskningsbilden: {0},Nepodarilo sa prečítať obrázok ukážky: {0}
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,无法解码预览图像。,無法解碼預覽影像。,Vorschaubild konnte nicht dekodiert werden.,La imagen de vista previa no se pudo decodificar.,L'image d'aperçu n'a pas pu être décodée.,Az előnézeti kép nem dekódolható.,プレビュー画像をデコードできませんでした。,미리보기 이미지를 디코딩할 수 없습니다.,Изображение предварительного просмотра не удалось декодировать.,A imagem de visualização não pôde ser decodificada.,Не вдалося декодувати зображення попереднього перегляду.,Impossibile decodificare l'immagine di anteprima.,ไม่สามารถถอดรหัสภาพตัวอย่างได้,Önizleme görüntüsünün kodu çözülemedi.,Förhandsgranskningsbilden kunde inte avkodas.,Obrázok ukážky sa nepodarilo dekódovať.
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},所需的 PublishedFileId 无效：{0},所需的 PublishedFileId 無效：{0},Erforderliche PublishedFileId ist ungültig: {0},El PublishedFileId requerido no es válido: {0},L'ID de fichier publié requis n'est pas valide : {0},A kötelező PublishedFileId érvénytelen: {0},必須の PublishedFileId が無効です: {0},필수 PublishedFileId가 잘못되었습니다: {0},Требуемый PublishedFileId недействителен: {0}.,Required PublishedFileId is invalid: {0},Необхідний PublishedFileId недійсний: {0},PublishedFileId obbligatorio non è valido: {0},PublishedFileId ที่จำเป็นไม่ถูกต้อง: {0},Gerekli PublishedFileId geçersiz: {0},Obligatoriskt PublishedFileId är ogiltigt: {0},Povinné PublishedFileId je neplatné: {0}
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steam 未初始化。,Steam 未初始化。,Steam ist nicht initialisiert.,Steam no está inicializado.,Steam n'est pas initialisé.,A Steam nincs inicializálva.,Steamが初期化されていません。,스팀이 초기화되지 않았습니다.,Steam не инициализируется.,O Steam não foi inicializado.,Steam не ініціалізовано.,Steam non è inizializzato.,Steam ไม่ได้ถูกเตรียมใช้งาน,Steam başlatılmadı.,Steam initieras inte.,Steam nie je inicializovaný.
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},上传的创意工坊物品：{0},上傳的創意工坊專案：{0},Workshop-Artikel hochgeladen: {0},Artículo del taller subido: {0},Élément d'atelier téléchargé : {0},Műhelyelem feltöltve: {0},ワークショップ アイテムがアップロードされました: {0},업로드된 창작마당 항목: {0},Загружен предмет мастерской: {0},Item da oficina enviado: {0},Завантажено предмет майстерні: {0},Articolo del workshop caricato: {0},อัปโหลดรายการเวิร์กชอป: {0},Atölye öğesi yüklendi: {0},Verkstadsobjekt laddat upp: {0},Odovzdaná položka workshopu: {0}
MainMenu.Editor.WorkshopPublishPopup.Status.TempFolderModified,Publish staging files were modified. Close this dialog and publish again.,发布暂存文件被修改。关闭此对话框并再次发布。,發布暫存文件已修改。關閉此對話框並再次發布。,Die Veröffentlichungs-Stagingdateien wurden geändert. Schließen Sie dieses Dialogfeld und veröffentlichen Sie es erneut.,Se modificaron los archivos provisionales de publicación. Cierre este cuadro de diálogo y publíquelo nuevamente.,Les fichiers de préparation de publication ont été modifiés. Fermez cette boîte de dialogue et publiez à nouveau.,"A közzétételi staging fájlok módosultak. Zárja be ezt a párbeszédpanelt, és tegye közzé újra.",パブリッシュステージングファイルが変更されました。このダイアログを閉じて、再度公開します。,게시 준비 파일이 수정되었습니다. 이 대화 상자를 닫고 다시 게시하세요.,Промежуточные файлы публикации были изменены. Закройте это диалоговое окно и опубликуйте снова.,Os arquivos de teste de publicação foram modificados. Feche esta caixa de diálogo e publique novamente.,Постановчі файли публікації змінено. Закрийте це діалогове вікно та опублікуйте знову.,I file di staging di pubblicazione sono stati modificati. Chiudi questa finestra di dialogo e pubblica di nuovo.,ไฟล์การจัดเตรียมการเผยแพร่ได้รับการแก้ไขแล้ว ปิดกล่องโต้ตอบนี้แล้วเผยแพร่อีกครั้ง,Yayınlama hazırlama dosyaları değiştirildi. Bu iletişim kutusunu kapatın ve yeniden yayınlayın.,Publicera mellanlagringsfiler har ändrats. Stäng den här dialogrutan och publicera igen.,Publikovať prípravné súbory boli upravené. Zatvorte toto dialógové okno a zverejnite ho znova.
MainMenu.Editor.WorkshopPublishPopup.Status.ValidatingRequiredItems,Verifying required Workshop items...,正在验证所需的创意工坊物品...,正在驗證所需的創意工坊物品...,Erforderliche Workshop-Artikel werden überprüft...,Verificando los elementos de taller requeridos...,Vérification des éléments requis de l'atelier...,Szükséges műhelyelemek ellenőrzése...,ワークショップに必要なアイテムを確認しています...,필수 창작마당 항목을 확인하는 중...,Проверка необходимых предметов Мастерской...,Verificando itens obrigatórios da Oficina...,Перевірка необхідних предметів майстерні...,Verifica degli articoli del Workshop richiesti...,กำลังตรวจสอบรายการเวิร์กชอปที่จำเป็น...,Gerekli Atölye öğeleri doğrulanıyor...,Verifierar obligatoriska verkstadsobjekt...,Overujú sa požadované položky workshopu...
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdsQueryFailed,Failed to verify required Workshop items.,无法验证所需的创意工坊物品。,無法驗證所需的創意工坊物品。,Die erforderlichen Workshop-Artikel konnten nicht überprüft werden.,No se pudieron verificar los artículos requeridos del taller.,Échec de la vérification des éléments requis de l'atelier.,Nem sikerült ellenőrizni a szükséges műhelyelemeket.,ワークショップに必要なアイテムを確認できませんでした。,필수 창작마당 아이템을 확인하지 못했습니다.,Не удалось проверить необходимые предметы Мастерской.,Falha ao verificar os itens obrigatórios da Oficina.,Не вдалося перевірити необхідні елементи майстерні.,Impossibile verificare gli articoli del Workshop richiesti.,ไม่สามารถตรวจสอบรายการเวิร์กชอปที่จำเป็นได้,Gerekli Atölye öğeleri doğrulanamadı.,Det gick inte att verifiera obligatoriska verkstadsartiklar.,Nepodarilo sa overiť požadované položky workshopu.
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdNotFound,Workshop item {0} was not found or is not accessible.,找不到或无法访问创意工坊项目 {0}。,找不到或無法存取創意工坊項目 {0}。,Workshop-Artikel {0} wurde nicht gefunden oder ist nicht zugänglich.,El elemento del taller {0} no se encontró o no se puede acceder a él.,L'élément d'atelier {0} n'a pas été trouvé ou n'est pas accessible.,A(z) {0} műhelyelem nem található vagy nem érhető el.,ワークショップ アイテム {0} が見つからないか、アクセスできません。,창작마당 항목 {0}을(를) 찾을 수 없거나 액세스할 수 없습니다.,Объект мастерской {0} не найден или недоступен.,O item da oficina {0} não foi encontrado ou não está acessível.,Елемент майстерні {0} не знайдено або недоступний.,L'elemento del workshop {0} non è stato trovato o non è accessibile.,ไม่พบรายการเวิร์กชอป {0} หรือไม่สามารถเข้าถึงได้,Atölye öğesi {0} bulunamadı veya erişilemiyor.,Verkstadsobjektet {0} hittades inte eller är inte tillgängligt.,Položka workshopu {0} sa nenašla alebo nie je prístupná.
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdWrongApp,Workshop item {0} does not belong to this app.,创意工坊项目 {0} 不属于此应用程序。,創意工坊專案 {0} 不屬於此應用程式。,Workshop-Artikel {0} gehört nicht zu dieser App.,El artículo del taller {0} no pertenece a esta aplicación.,L'élément d'atelier {0} n'appartient pas à cette application.,A(z) {0} műhelyelem nem ehhez az alkalmazáshoz tartozik.,ワークショップ アイテム {0} はこのアプリに属していません。,창작마당 항목 {0}은(는) 이 앱에 속하지 않습니다.,Объект мастерской {0} не принадлежит этому приложению.,O item da oficina {0} não pertence a este aplicativo.,Елемент майстерні {0} не належить до цієї програми.,L'articolo del workshop {0} non appartiene a questa app.,รายการเวิร์กชอป {0} ไม่ได้เป็นของแอปนี้,Atölye öğesi {0} bu uygulamaya ait değil.,Verkstadsobjektet {0} tillhör inte den här appen.,Položka workshopu {0} nepatrí do tejto aplikácie.
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureFailed,Viewport capture failed: {0},视口捕获失败：{0},視窗捕獲失敗：{0},Ansichtsfenstererfassung fehlgeschlagen: {0},Error en la captura de la ventana gráfica: {0},Échec de la capture de la fenêtre : {0},A nézetablak rögzítése nem sikerült: {0},ビューポートのキャプチャに失敗しました: {0},뷰포트 캡처 실패: {0},Не удалось захватить область просмотра: {0},Falha na captura da janela de visualização: {0},Помилка захоплення області перегляду: {0},Acquisizione del viewport non riuscita: {0},การบันทึกวิวพอร์ตล้มเหลว: {0},Görünüm yakalama başarısız oldu: {0},Viewport-fångst misslyckades: {0},Snímanie výrezu zlyhalo: {0}
MainMenu.Editor.WorkshopPublishPopup.Status.ViewportCaptureSucceeded,Preview captured from viewport.,从视口捕获预览图像。,從視窗捕獲的預覽。,Vorschau aus dem Ansichtsfenster aufgenommen.,Vista previa capturada desde la ventana gráfica.,Aperçu capturé depuis la fenêtre.,A nézetablakból rögzített előnézet.,ビューポートからキャプチャされたプレビュー。,뷰포트에서 캡처된 미리보기입니다.,Предварительный просмотр сделан из видового экрана.,Visualização capturada da viewport.,Попередній перегляд зроблено з вікна перегляду.,Anteprima catturata dal viewport.,ดูตัวอย่างที่ถ่ายจากวิวพอร์ต,Görünüm alanından çekilen önizleme.,Förhandsvisning fångad från viewport.,Náhľad zachytený z výrezu.
MainMenu.Editor.FileNameValidation.Label.Character,Character name,角色名称,角色名稱,Charaktername,Nombre del personaje,Nom du personnage,Karakter neve,キャラクター名,캐릭터 이름,Имя персонажа,Nome do personagem,Ім'я персонажа,Nome del personaggio,ชื่อตัวละคร,Karakter adı,Karaktärens namn,Meno postavy
MainMenu.Editor.FileNameValidation.Label.Scene,Scene name,场景名称,場景名稱,Szenenname,Nombre de la escena,Nom de la scène,A jelenet neve,シーン名,장면 이름,Название сцены,Nome da cena,Назва сцени,Nome della scena,ชื่อฉาก,Sahne adı,Scennamn,Názov scény
MainMenu.Editor.FileNameValidation.Label.SceneList,Scene list name,场景列表名称,場景清單名稱,Name der Szenenliste,Nombre de la lista de escenas,Nom de la liste de scènes,Jelenetlista neve,シーンリスト名,장면 목록 이름,Название списка сцен,Nome da lista de cenas,Назва списку сцен,Nome dell'elenco delle scene,ชื่อรายการฉาก,Sahne listesi adı,Scenlistans namn,Názov zoznamu scén
MainMenu.Editor.FileNameValidation.Empty,{0} cannot be empty.,{0} 不能为空。,{0} 不能為空。,{0} darf nicht leer sein.,{0} no puede estar vacío.,{0} ne peut pas être vide.,A(z) {0} nem lehet üres.,{0} を空にすることはできません。,{0}은(는) 비워둘 수 없습니다.,{0} не может быть пустым.,{0} não pode estar vazio.,{0} не може бути порожнім.,{0} non può essere vuoto.,{0} ไม่สามารถเว้นว่างได้,{0} boş olamaz.,{0} får inte vara tom.,{0} nemôže byť prázdne.
MainMenu.Editor.FileNameValidation.TooLong,{0} cannot exceed {1} characters.,{0} 不能超过 {1} 个字符。,{0} 不能超過 {1} 個字元。,{0} darf nicht länger als {1} Zeichen sein.,{0} no puede exceder los {1} caracteres.,{0} ne peut pas dépasser {1} caractères.,A {0} nem haladhatja meg a {1} karaktert.,{0} は {1} 文字を超えることはできません。,{0}은(는) {1}자를 초과할 수 없습니다.,{0} не может превышать {1} символов.,{0} não pode exceder {1} caracteres.,{0} не може перевищувати {1} символів.,{0} non può contenere più di {1} caratteri.,{0} ต้องไม่เกิน {1} อักขระ,"{0}, {1} karakteri aşamaz.",{0} får inte överstiga {1} tecken.,{0} nemôže presiahnuť {1} znakov.
MainMenu.Editor.FileNameValidation.InvalidCharacter,{0} cannot contain '{1}'.,{0} 不能包含“{1}”。,{0} 不能包含「{1}」。,{0} darf „{1}“ nicht enthalten.,{0} no puede contener '{1}'.,{0} ne peut pas contenir '{1}'.,A(z) {0} nem tartalmazhatja a következőt: „{1}”.,{0} に「{1}」を含めることはできません。,{0}은 '{1}'을(를) 포함할 수 없습니다.,{0} не может содержать '{1}'.,{0} não pode conter '{1}'.,"{0} не може містити ""{1}"".",{0} non può contenere '{1}'.,{0} ไม่สามารถมี '{1}',"{0}, '{1}' içeremez.",{0} kan inte innehålla '{1}'.,{0} nemôže obsahovať '{1}'.
MainMenu.Editor.FileNameValidation.WindowsReserved,'{1}' is a reserved name and cannot be used.,“{1}”是系统保留关键词，不能使用。,“{1}”是保留名稱，不能使用。,„{1}“ ist ein reservierter Name und kann nicht verwendet werden.,'{1}' es un nombre reservado y no se puede utilizar.,'{1}' est un nom réservé et ne peut pas être utilisé.,"A „{1}” egy lefoglalt név, és nem használható.",'{1}' は予約された名前なので使用できません。,'{1}'은(는) 예약된 이름이므로 사용할 수 없습니다.,"'{1}' — зарезервированное имя, и его нельзя использовать.",'{1}' é um nome reservado e não pode ser usado.,"""{1}"" є зарезервованою назвою, і її не можна використовувати.",'{1}' è un nome riservato e non può essere utilizzato.,'{1}' เป็นชื่อที่สงวนไว้และไม่สามารถใช้ได้,'{1}' ayrılmış bir addır ve kullanılamaz.,'{1}' är ett reserverat namn och kan inte användas.,'{1}' je vyhradený názov a nemožno ho použiť.
